"Book Title","ISBN","Amazon URL","GoodReads Description","Wikipedia Description","Readgeek Description"
"The Code: The Assiduous Quest of Tobias Hopkins - Part Two","-1","https://www.goodreads.com/buy_buttons/15/follow?book_id=24985876&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","The Assiduous Quest of Tobias Hopkins - Part Two: The CodeIn this book, the second in the series, merchant trader Tobias Hopkins believes the search for his father has come to an end. However, a cryptic message has been left for Toby to solve. What does this message lead to, and will Toby be the first to discover the truth about his father? Others lay in wait, watching his every move. Who can he trust? His faithful associate, John, the astute businesswoman Elizabeth, or Magdalena, mother of his half-brother Eduardo? Some of those around him are not what they seem to be, and it soon becomes clear that Toby and those closest to him are in imminent danger.","The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography is a book by Simon Singh, published in New York in 1999 by Doubleday.",""
"The Assiduous Quest of Tobias Hopkins: The Complete Novel","9781511625715","https://www.goodreads.com/buy_buttons/12/follow?book_id=25146386&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The Assiduous Quest of Tobias Hopkins - The Complete novel The first volume in the Tobias Hopkins series. It is October in the year 1675. New England trader, Tobias Hopkins, arrives in Jamaica to discover the truth about his missing father. It transpires that, not only has the man been dead for six years, but he has left Toby with a half-brother and the clue to an inheritance which promises to change the course of their lives. However, Toby's inquiries have attracted the attention of others who will stop at nothing to achieve their aims. Will the cryptic message written by his father lead him to a promised fortune, or will it lead him into the hands of those who aim to destroy him? Haunted by nightmares from his past, Toby continues with his quest. But who can he trust? His faithful associate, John? the astute businesswoman Elizabeth? or Magdalena, mother of his half-brother Eduardo? Some of those around him are not what they seem to be, and it soon becomes clear that Toby and those closest to him are in imminent danger. His quest leads him to the Island of Nevis where he reaps the fruits of his search. All appears well until he travels to Virginia. It is only at this point that Tobias Hopkins is forced to face the consequence of his actions.","",""
"We Were Liars","9781471403989","https://www.goodreads.com/buy_buttons/12/follow?book_id=16143347&ref=x_gr_e_d_bp_default_sout_bb&tag=x_gr_e_d_bp_default_sout_bb-20","A beautiful and distinguished family.A private island.A brilliant, damaged girl; a passionate, political boy.A group of four friends√¢¬Ä¬îthe Liars√¢¬Ä¬îwhose friendship turns destructive.A revolution. An accident. A secret.Lies upon lies.True love.The truth.We Were Liars is a modern, sophisticated suspense novel from New York Times bestselling author, National Book Award finalist, and Printz Award honoree E. Lockhart. Read it.And if anyone asks you how it ends, just LIE.","We Were Liars is a 2014 young-adult novel by E. Lockhart. The novel has received critical acclaim and won the Goodreads Choice Award for Best Young Adult Fiction.[1] It was also listed as an ALA Top Ten Best Fiction for Young Adults for 2015.[2]","A New York Times BestsellerOne of James Patterson's ""Favorite Thrillers for the Beach"" (New York Times)""Haunting, sophisticated . . . a novel so twisty and well-told that it will appeal to older readers as well as to adolescents."" —Wall Street Journal""A rich, stunning summer mystery with a sharp twist that will leave you dying to talk about the book with a pal or ten."" —Parade.com""Thrilling, beautiful, and blisteringly smart, We Were Liars is utterly unforgettable."" —John Green, #1 New York Times bestselling author of The Fault in Our Stars""You’re going to want to remember the title. Liars details the summers of a girl who harbors a dark secret, and delivers a satisfying, but shocking twist ending."" —Breia Brissey, Entertainment WeeklyA beautiful and distinguished family.A private island.A brilliant, damaged girl; a passionate, political boy.A group of four friends—the Liars—whose friendship turns destructive.A revolution. An accident. A secret.Lies upon lies.True love.The truth.We Were Liars is a modern, sophisticated suspense novel from New York Times bestselling author, National Book Award finalist, and Printz Award honoree E. Lockhart. Read it.And if anyone asks you how it ends, just LIE.""An ambitious novel with an engaging voice, a clever plot and some terrific writing."" —New York Times Book Review""No one should be talking about the shocking twist ending. What we can talk about is...[Lockhart's] razor-sharp portrayal of a family for whom keeping up appearances is paramount and, ultimately, tragic."" —The Chicago Tribune"
"The V Girl","9781582401836","https://www.goodreads.com/buy_buttons/12/follow?book_id=25437891&ref=x_gr_w_bb&tag=x_gr_w_bb-20","ROMANCE SET IN A DYSTOPIAN FUTUREIn post-apocalyptic North America, sexual slavery is legal. Lila Velez desperately wants to lose her virginity before the troops visit her town and take it away by force. She makes plans to seduce her only friend. Lila does not love him, but he is the only man who has shown her true affection, an affection she is willing to take as a substitute for love.Lila√¢¬Ä¬ôs coping mechanism to deal with her mother√¢¬Ä¬ôs loss is her secret. A secret that will bring her closer to Aleksey F√É¬ºrst, a foreign, broody man who she distrusts because of his links to the troops and his rough, yet irresistible appearance. He offers Lila an alternative to her plans, a possibility that terrifies her√¢¬Ä¬¶and tempts her in spite of herself.With threats looming at every turn and no way to escape, Lila fears that falling in love will only lead to more heartache. The consequences of laying down her arms for Aleksey and welcoming hope might destroy more than her heart. They might force her to face the worst of her nightmares becoming a reality. Is love possible in a world that has forgotten what the human touch is?NOTES FROM THE AUTHOR* This is a book full of romance and anti-rape messages. I didn't write this book to romanticize violence against women but to tell the story of a girl who has to come of age under the most terrible circumstances. * This full-length novel is a stand alone. No cliffhanger* Alpha male hero. No cheating. No slut-shaming.* Includes a discussion guide for bookclubs* Possible triggers for abuse survivors.","The Story Girl is a 1911 novel by Canadian author L. M. Montgomery. It narrates the adventures of a group of young cousins and their friends who live in a rural community on Prince Edward Island, Canada.",""
"Takedown Twenty (Stephanie Plum, #20)","9781494817725","https://www.goodreads.com/buy_buttons/12/follow?book_id=18121193&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Stephanie Plum has her sights set on catching a notorious mob boss. If she doesn√¢¬Ä¬ôt take him down, he may take her out.New Jersey bounty hunter Stephanie Plum knows better than to mess with family. But when powerful mobster Salvatore √¢¬Ä¬úUncle Sunny√¢¬Ä¬ù Sunucchi goes on the lam in Trenton, it√¢¬Ä¬ôs up to Stephanie to find him. Uncle Sunny is charged with murder for running over a guy (twice), and nobody wants to turn him in√¢¬Ä¬înot his poker buddies, not his bimbo girlfriend, not his two right-hand men, Shorty and Moe. Even Trenton√¢¬Ä¬ôs hottest cop, Joe Morelli, has skin in the game, because√¢¬Ä¬îjust Stephanie√¢¬Ä¬ôs luck√¢¬Ä¬îthe godfather is his actual godfather. And while Morelli understands that the law is the law, his old-world grandmother, Bella, is doing everything she can to throw Stephanie off the trail. It√¢¬Ä¬ôs not just Uncle Sunny giving Stephanie the run-around. Security specialist Ranger needs her help to solve the bizarre death of a top client√¢¬Ä¬ôs mother, a woman who happened to play bingo with Stephanie√¢¬Ä¬ôs Grandma Mazur. Before Stephanie knows it, she√¢¬Ä¬ôs working side by side with Ranger and Grandma at the senior center, trying to catch a killer on the loose√¢¬Ä¬îand the bingo balls are not rolling in their favor. With bullet holes in her car, henchmen on her tail, and a giraffe named Kevin running wild in the streets of Trenton, Stephanie will have to up her game for the ultimate takedown.","",""
"Notorious Nineteen (Stephanie Plum, #19)","9780755385010","https://www.goodreads.com/buy_buttons/15/follow?book_id=14740588&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","New Jersey bounty hunter Stephanie Plum is certain of three truths: People don√¢¬Ä¬ôt just vanish into thin air. Never anger old people. And don√¢¬Ä¬ôt do what Tiki tells you to do. After a slow summer of chasing low-level skips for her cousin Vinnie√¢¬Ä¬ôs bail bonds agency, Stephanie Plum finally lands an assignment that could put her checkbook back in the black. Geoffrey Cubbin, facing trial for embezzling millions from Trenton√¢¬Ä¬ôs premier assisted-living facility, has mysteriously vanished from the hospital after an emergency appendectomy. Now it√¢¬Ä¬ôs on Stephanie to track down the con man. Unfortunately, Cubbin has disappeared without a trace, a witness, or his money-hungry wife. Rumors are stirring that he must have had help with the daring escape . . . or that maybe he never made it out of his room alive. Since the hospital staff√¢¬Ä¬ôs lips seem to be tighter than the security, and it√¢¬Ä¬ôs hard for Stephanie to blend in to assisted living, Stephanie√¢¬Ä¬ôs Grandma Mazur goes in undercover. But when a second felon goes missing from the same hospital, Stephanie is forced into working side by side with Trenton√¢¬Ä¬ôs hottest cop, Joe Morelli, in order to crack the case.The real problem is, no Cubbin also means no way to pay the rent. Desperate for money√¢¬Ä¬îor maybe just desperate√¢¬Ä¬îStephanie accepts a secondary job guarding her secretive and mouthwatering mentor Ranger from a deadly Special Forces adversary. While Stephanie is notorious for finding trouble, she may have found a little more than she bargained for this time around. Then again√¢¬Ä¬îa little food poisoning, some threatening notes, and a bridesmaid√¢¬Ä¬ôs dress with an excess of taffeta never killed anyone . . . or did they? If Stephanie Plum wants to bring in a paycheck, she√¢¬Ä¬ôll have to remember: No guts, no glory. . . .","To the Nines is the ninth novel by Janet Evanovich featuring the bounty hunter Stephanie Plum. Written in 2003, it's the second book in a row that doesn't revolve around a criminal bond, and the first to take Stephanie out of New Jersey and into the neon glitz of Las Vegas.",""
"The Heir (The Selection, #4)","9780007580224","https://www.goodreads.com/buy_buttons/12/follow?book_id=22918050&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Princess Eadlyn has grown up hearing endless stories about how her mother and father met. Twenty years ago, America Singer entered the Selection and won the heart of Prince Maxon√¢¬Ä¬îand they lived happily ever after. Eadlyn has always found their fairy-tale story romantic, but she has no interest in trying to repeat it. If it were up to her, she'd put off marriage for as long as possible.But a princess's life is never entirely her own, and Eadlyn can't escape her very own Selection√¢¬Ä¬îno matter how fervently she protests.Eadlyn doesn't expect her story to end in romance. But as the competition begins, one entry may just capture Eadlyn's heart, showing her all the possibilities that lie in front of her . . . and proving that finding her own happily ever after isn't as impossible as she's always thought.","The Heir is a 2015 young adult novel by Kiera Cass. It is the fourth book in The Selection series. The book was first published on May 5, 2015 through HarperTeen. The Heir is from a new perspective, Maxon and America's daughter, Princess Eadlyn. The book is when Princess Eadlyn holds her own Selection, this time with male suitors. Many known characters as well as new ones make appearances.",""
"Amatore's Restaurant","9781507694893","https://www.goodreads.com/buy_buttons/12/follow?book_id=22820335&ref=x_gr_w_bb&tag=x_gr_w_bb-20","It is the end of another successful year for the Recreative Theatre Company and the cast have arranged to meet at Ristorante Amatore for their end-of-season dinner.As the evening progresses, each guest recalls a past sexual liaison. In these recollections we are transported to a variety of locations; the rolling countryside of Brittany to the brown caf√É¬©s of Amsterdam, from the grandeur of Venice to the slums of Marseilles. The stories describe various situations: Prudence relates her encounters on a train journey and Colin makes a surprising discovery when he settles down to watch his favourite film. Some characters are driven by self-interest: the sociopath Nicole with her reckless behaviour towards her trusting nephew, and Colette who takes advantage of her unsuspecting tenant. A common theme unfolds: the hidden truths behind the motives for seduction. As the evening comes to a close, old alliances are re-kindled, new attachments are formed, while others are broken. Frustrations rise to the surface as truths are revealed. For some the evening is a great success, for others a disaster.WARNING: Adult content; there are passages which describe sex explicitly.","",""
"How to Be Both","9780241145210","https://www.goodreads.com/buy_buttons/12/follow?book_id=20439328&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Passionate, compassionate, vitally inventive and scrupulously playful, Ali Smith√¢¬Ä¬ôs novels are like nothing else. A true original, she is a one-of-a-kind literary sensation. Her novels consistently attract serious acclaim and discussion√¢¬Ä¬îand have won her a dedicated readership who are drawn again and again to the warmth, humanity and humor of her voice.How to be both is a novel all about art√¢¬Ä¬ôs versatility. Borrowing from painting√¢¬Ä¬ôs fresco technique to make an original literary double-take, it√¢¬Ä¬ôs a fast-moving genre-bending conversation between forms, times, truths and fictions. There√¢¬Ä¬ôs a Renaissance artist of the 1460s. There√¢¬Ä¬ôs the child of a child of the 1960s. Two tales of love and injustice twist into a singular yarn where time gets timeless, structural gets playful, knowing gets mysterious, fictional gets real√¢¬Ä¬îand all life√¢¬Ä¬ôs givens get given a second chance.A NOTE TO THE READER:Who says stories reach everybody in the same order?This novel can be read in two ways and this book provides you with both.In half of all printed editions of the novel the narrative EYES comes before CAMERA.In the other half of printed editions the narrative CAMERA precedes EYES.The narratives are exactly the same in both versions, just in a different order.The books are intentionally printed in two different ways, so that readers can randomly have different experiences reading the same text. So, depending on which edition you happen to receive, the book will be: EYES, CAMERA, or CAMERA, EYES. Enjoy the adventure.","How to Be Both is a 2014 novel by Scottish author Ali Smith, first published by Hamish Hamilton.[1] It was shortlisted for the 2014 Man Booker Prize[2] and the 2015 Folio Prize.[3] It won the 2014 Goldsmiths Prize,[4][5] the Novel Award in the 2014 Costa Book Awards and the 2015 Baileys Women's Prize for Fiction.[6]","The Wild Things based very loosely on the storybook by Maurice Sendak and the screenplay cowritten with Spike Jonze is about the confusions of a boy, Max, making his way in a world he can’t control. His father is gone, his mother is spending time with a younger boyfriend, his sister is becoming a teenager and no longer has interest in him. At the same time, Max finds himself capable of startling acts of wildness: he wears a wolf suit, bites his mom, and can’t always control his outbursts. During a fight at home, Max flees and runs away into the woods. He finds a boat there, jumps in, and ends up on the open sea, destination unknown. He lands on the island of the Wild Things, and soon he becomes their king. But things get complicated when Max realizes that the Wild Things want as much from him as he wants from them. Funny, dark, and alive, The Wild Things is a timeless and time-tested tale for all ages."
"The Lake House","9780749019808","https://www.goodreads.com/buy_buttons/12/follow?book_id=21104828&ref=x_gr_e_nl_ya_sout_bb&tag=x_gr_e_nl_ya_sout_bb-20","A missing child.June 1933, and the Edevane family's country house, Loeanneth, is polished and gleaming, ready for the much-anticipated Midsummer Eve party. Alice Edevane, sixteen years old and a budding writer, is especially excited. Not only has she worked out the perfect twist for her novel, she's also fallen helplessly in love with someone she shouldn't have. But by the time midnight strikes and fireworks light up the night skies, the Edevane family will have suffered a loss so great that they leave Loeanneth forever.An abandoned house.Seventy years later, after a particularly troubling case, Sadie Sparrow is sent on an enforced break from her job with the Metropolitan Police. She retreats to her beloved grandfather's cottage in Cornwall but soon finds herself at a loose end. Until one day, Sadie stumbles upon an abandoned house surrounded by overgrown gardens and dense woods, and learns the story of a baby boy who disappeared without a trace.An unsolved mystery.Meanwhile, in the attic writing room of her elegant Hampstead home, the formidable Alice Edevane, now an old lady, leads a life as neatly plotted as the bestselling detective novels she writes. Until a young police detective starts asking questions about her family's past, seeking to resurrect the complex tangle of secrets Alice has spent her life trying to escape.","",""
"The Book of Strange New Things","9781782114062","https://www.goodreads.com/buy_buttons/12/follow?book_id=28087366&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Alternate cover for ISBN: 0553418866It begins with Peter, a devoted man of faith, as he is called to the mission of a lifetime, one that takes him galaxies away from his wife, Bea. Peter becomes immersed in the mysteries of an astonishing new environment, overseen by an enigmatic corporation known only as USIC. His work introduces him to a seemingly friendly native population struggling with a dangerous illness and hungry for Peter√¢¬Ä¬ôs teachings√¢¬Ä¬îhis Bible is their √¢¬Ä¬úbook of strange new things.√¢¬Ä¬ù But Peter is rattled when Bea√¢¬Ä¬ôs letters from home become increasingly desperate: typhoons and earthquakes are devastating whole countries, and governments are crumbling. Bea√¢¬Ä¬ôs faith, once the guiding light of their lives, begins to falter. Suddenly, a separation measured by an otherworldly distance, and defined both by one newly discovered world and another in a state of collapse, is threatened by an ever-widening gulf that is much less quantifiable. While Peter is reconciling the needs of his congregation with the desires of his strange employer, Bea is struggling for survival. Their trials lay bare a profound meditation on faith, love tested beyond endurance, and our responsibility to those closest to us. Marked by the same bravura storytelling and precise language that made The Crimson Petal and the White such an international success, The Book of Strange New Things is extraordinary, mesmerizing, and replete with emotional complexity and genuine pathos.","The Book of Strange New Things is a 2014 science fiction novel by Dutch-born author Michel Faber. The work was first published in the United States on October 28, 2014 and concerns an English pastor who is sent to the planet of Oasis to teach its reclusive native inhabitants about Christianity. Michel Faber has stated that The Book of Strange New Things may be his last written work.[1]",""
"The Sea of Tranquility","9780001981621","https://www.goodreads.com/buy_buttons/7/follow?book_id=16151178","I live in a world without magic or miracles. A place where there are no clairvoyants or shapeshifters, no angels or superhuman boys to save you. A place where people die and music disintegrates and things suck. I am pressed so hard against the earth by the weight of reality that some days I wonder how I am still able to lift my feet to walk.Former piano prodigy Nastya Kashnikov wants two things: to get through high school without anyone learning about her past and to make the boy who took everything from her√¢¬Ä¬îher identity, her spirit, her will to live√¢¬Ä¬îpay.Josh Bennett√¢¬Ä¬ôs story is no secret: every person he loves has been taken from his life until, at seventeen years old, there is no one left. Now all he wants is be left alone and people allow it because when your name is synonymous with death, everyone tends to give you your space.Everyone except Nastya, the mysterious new girl at school who starts showing up and won√¢¬Ä¬ôt go away until she√¢¬Ä¬ôs insinuated herself into every aspect of his life. But the more he gets to know her, the more of an enigma she becomes. As their relationship intensifies and the unanswered questions begin to pile up, he starts to wonder if he will ever learn the secrets she√¢¬Ä¬ôs been hiding√¢¬Ä¬îor if he even wants to.The Sea of Tranquility is a rich, intense, and brilliantly imagined story about a lonely boy, an emotionally fragile girl, and the miracle of second chances.","The Sea of Tranquility is the debut album of the Norwegian band Neograss, released on August 2, 2010.",""
"Wood, Talc and Mr. J","9781512034691","https://www.goodreads.com/buy_buttons/12/follow?book_id=22752404&ref=x_gr_w_bb&tag=x_gr_w_bb-20","A look back. Without the rose-tinted spectacles, but with hindsight and humour, and with poignancy and affection. 1978. The North. Phillip sees life in a simplistic if passionate way: up or down, us and them, black, white and nothing in-between. When not doing his √¢¬Ä¬òthing√¢¬Ä¬ô in Wigan√¢¬Ä¬ôs Casino Club √¢¬Ä¬ì voted √¢¬Ä¬òThe Greatest Disco in the World√¢¬Ä¬ô by Time Magazine √¢¬Ä¬ì Phillip hates the world. Or at least he thinks he does. He longs for the weekend, or a greater, permanent escape from the daily grind of factory life in an industrial town. With a little imagination, he might realise things midweek aren√¢¬Ä¬ôt that bad: there√¢¬Ä¬ôs the loving family, the secure job amid mass unemployment, a relationship with the perfect young woman√¢¬Ä¬¶ Or maybe he realises too late. And all he√¢¬Ä¬ôd deemed important was only ever an illusion, his reflected image included. Coming full circle by way of loss and more loss, you would hope lessons are learned√¢¬Ä¬¶ The book progresses through myriad dream sequences, interwoven song-themes, a father√¢¬Ä¬ôs philosophical ramblings, ever blackening wit, leitmotif √¢¬Ä¬ì or seemingly recurring scenes; is someone laughing at our hero? And Phillip√¢¬Ä¬ôs own, lyrical, strut-like, black or white manner. Dancehall adventures via train rides to Heaven, scooter cruising almost coast to coast. Beneath the pier encounters with the opposite sex, et al√¢¬Ä¬¶ set against the birth of Scargill and Thatcher feuding√¢¬Ä¬¶","",""
"My Struggle: Book One","9780374534141","https://www.goodreads.com/buy_buttons/15/follow?book_id=19302372&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","Romanen √É¬•pner med en svimlende beskrivelse av d√É¬∏den. Derfra fortelles det om forfatteren Karl Ove Knausg√É¬•rds kamp for √É¬• mestre livet og seg selv og sine egne ambisjoner p√É¬• skrivingens vegne, i m√É¬∏te med de menneskene han har rundt seg. Min kamp. F√É¬∏rste bok utforsker det √É¬• vokse opp og v√É¬¶re overgitt en verden som ser ut til √É¬• v√É¬¶re komplett, avsluttet, lukket. Romanen beskriver det unge blikkets varhet og usikkerhet, der det registrerer andre menneskers tilstedev√É¬¶relse og vurderinger med en √É¬•penhet som er voldsom og nesten selvutslettende i sin konsekvens.I en borende prosa som opps√É¬∏ker det s√É¬•rbare, det pinlige og det eksistensielt betydningsb√É¬¶rende, blir dette en dypt personlig roman, selvutpr√É¬∏vende og kontroversiell. Et eksistensielt omdreiningspunkt er farens d√É¬∏d, et annet er kanskje hovedpersonens debut som forfatter.","My Struggle (Norwegian: Min kamp) is an autobiographical series of six novels written by Karl Ove Knausgård and published in 2009–2011. The books cover his private life and thoughts, and unleashed a media frenzy upon its release, with journalists attempting to track down the mentioned members of his family. The series has sold half a million copies in Norway alone and has been published in 22 languages.","My Struggle: Book One introduces American readers to the audacious, addictive, and profoundly surprising international literary sensation that is the provocative and brilliant six-volume autobiographical novel by Karl Ove Knausgaard. It has already been anointed a Proustian masterpiece and is the rare work of dazzling literary originality that is intensely, irresistibly readable. Unafraid of the big issues―death, love, art, fear―and yet committed to the intimate details of life as it is lived, My Struggle is an essential work of contemporary literature."
"The Rithmatist (The Rithmatist, #1)","9781447266150","https://www.goodreads.com/buy_buttons/12/follow?book_id=22443261&ref=x_gr_w_carousel_bp_sout_bb&tag=x_gr_w_carousel_bp_sout_bb-20","The Rithmatist, Brandon Sanderson's New York Times bestselling epic teen adventure is now available in paperback.More than anything, Joel wants to be a Rithmatist. Rithmatists have the power to infuse life into two-dimensional figures known as Chalklings.√Ç¬†Rithmatists are humanity√¢¬Ä¬ôs only defense against the Wild Chalklings. Having nearly overrun the territory of Nebrask, the Wild Chalklings now threaten all of the American Isles.As the son of a lowly chalkmaker at Armedius Academy, Joel can only watch as Rithmatist students learn the magical art that he would do anything to practice. Then students start disappearing√¢¬Ä¬îkidnapped from their rooms at night, leaving trails of blood. Assigned to help the professor who is investigating the crimes, Joel and his friend Melody find themselves on the trail of an unexpected discovery√¢¬Ä¬îone that will change Rithmatics√¢¬Ä¬îand their world√¢¬Ä¬îforever.A New York Times Book Review Notable Children's Book of 2013","The Rithmatist series is a young adult fantasy series written by American author Brandon Sanderson. At least two books are planned in the series: The Rithmatist (2013) and a second volume titled The Aztlanian[1] is planned.","The Rithmatist, Brandon Sanderson's New York Times bestselling epic teen adventure is now available in paperback. More than anything, Joel wants to be a Rithmatist. Rithmatists have the power to infuse life into two-dimensional figures known as Chalklings. Rithmatists are humanity's only defense against the Wild Chalklings. Having nearly overrun the territory of Nebrask, the Wild Chalklings now threaten all of the American Isles. As the son of a lowly chalkmaker at Armedius Academy, Joel can only watch as Rithmatist students learn the magical art that he would do anything to practice. Then students start disappearing―kidnapped from their rooms at night, leaving trails of blood. Assigned to help the professor who is investigating the crimes, Joel and his friend Melody find themselves on the trail of an unexpected discovery―one that will change Rithmatics―and their world―forever.A New York Times Book Review Notable Children's Book of 2013"
"Red Rising (Red Rising, #1)","9781250050687","https://www.goodreads.com/buy_buttons/13/follow?book_id=18046624&ref=x_gr_w_bb&tag=x_gr_w_bb_uk-21","""I live for the dream that my children will be born free,"" she says. ""That they will be what they like. That they will own the land their father gave them.""""I live for you,"" I say sadly.Eo kisses my cheek. ""Then you must live for more.""Darrow is a Red, a member of the lowest caste in the color-coded society of the future. Like his fellow Reds, he works all day, believing that he and his people are making the surface of Mars livable for future generations.Yet he spends his life willingly, knowing that his blood and sweat will one day result in a better world for his children.But Darrow and his kind have been betrayed. Soon he discovers that humanity already reached the surface generations ago. Vast cities and sprawling parks spread across the planet. Darrow√¢¬Ä¬îand Reds like him√¢¬Ä¬îare nothing more than slaves to a decadent ruling class.Inspired by a longing for justice, and driven by the memory of lost love, Darrow sacrifices everything to infiltrate the legendary Institute, a proving ground for the dominant Gold caste, where the next generation of humanity's overlords struggle for power. He will be forced to compete for his life and the very future of civilization against the best and most brutal of Society's ruling class. There, he will stop at nothing to bring down his enemies... even if it means he has to become one of them to do so.","Red Rising is a 2014 science fiction novel by American author Pierce Brown, and the first book and eponym of a trilogy. The novel, set on a future planet Mars, follows lowborn miner Darrow as he infiltrates the ranks of the elite Golds.","A novel about two friends learning the difference between getting older and growing upBev Tunney and Amy Schein have been best friends for years; now, at thirty, they're at a crossroads. Bev is a Midwestern striver still mourning a years-old romantic catastrophe. Amy is an East Coast princess whose luck and charm have too long allowed her to cruise through life. Bev is stuck in circumstances that would have barely passed for bohemian in her mid-twenties: temping, living with roommates, drowning in student-loan debt. Amy is still riding the tailwinds of her early success, but her habit of burning bridges is finally catching up to her. And now Bev is pregnant. As Bev and Amy are dragged, kicking and screaming, into real adulthood, they have to face the possibility that growing up might mean growing apart.Friendship, Emily Gould's debut novel, traces the evolution of a friendship with humor and wry sympathy. Gould examines the relationship between two women who want to help each other but sometimes can't help themselves; who want to make good decisions but sometimes fall prey to their own worst impulses; whose generous intentions are sometimes overwhelmed by petty concerns. This is a novel about the way we speak and live today; about the ways we disappoint and betray one another. At once a meditation on the modern meaning of maturity and a timeless portrait of the underexamined bond that exists between friends, this exacting and truthful novel is a revelation."
"Archer's Voice","9782290122532","https://www.goodreads.com/buy_buttons/12/follow?book_id=20639274&ref=x_gr_w_bb&tag=x_gr_w_bb-20","A New York Times, USA Today, and Wall Street Journal bestselling book. Archer's Voice is a full-length, standalone romance.When Bree Prescott arrives in the sleepy, lakeside town of Pelion, Maine, she hopes against hope that this is the place where she will finally find the peace she so desperately seeks. On her first day there, her life collides with Archer Hale, an isolated man who holds a secret agony of his own. A man no one else sees.Archer's Voice is the story of a woman chained to the memory of one horrifying night and the man whose love is the key to her freedom. It is the story of a silent man who lives with an excruciating wound and the woman who helps him find his voice. It is the story of suffering, fate, and the transformative power of love.THIS IS A STANDALONE SIGN OF LOVE NOVEL, INSPIRED BY SAGITTARIUS. New Adult Contemporary Romance: Due to strong language and sexual content, this book is not intended for readers under the age of 18.","","A New York Times, USA Today, and Wall Street Journal bestselling book. One of the Top 100 Romance Novels of All time on Goodreads! Archer's Voice is a full-length, standalone romance.Features a bonus scene from Archer's POV.I wanted to lose myself in the small town of Pelion, Maine. To forget everything I had left behind. The sound of rain. The blood. The coldness of a gun against my skin. For six months, each breath has been a reminder that I survived---and my dad didn't. I'm almost safe again. But the moment I meet Archer Hale, my entire world tilts on its axis . . . and never rights itself again.Until I trespass into his strange, silent, and isolated world, Archer communicates with no one. Yet in his whiskey-colored eyes, something intangible happens between us. There's so much more to him than just his beauty, his presence, or the ways his hands communicate with me. On me. But this town is mired in secrets and betrayals, and Archer is the explosive center of it all.So much passion. And so much hurt. But it's only in Archer's silence that we might just find what we need to heal . . . and live."
"Sapiens: A Brief History of Humankind","9780099590088","https://www.goodreads.com/buy_buttons/15/follow?book_id=23692271&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","100,000 years ago, at least six human species inhabited the earth. Today there is just one. Us. Homo sapiens. How did our species succeed in the battle for dominance? Why did our foraging ancestors come together to create cities and kingdoms? How did we come to believe in gods, nations and human rights; to trust money, books and laws; and to be enslaved by bureaucracy, timetables and consumerism? And what will our world be like in the millennia to come? In Sapiens, Dr Yuval Noah Harari spans the whole of human history, from the very first humans to walk the earth to the radical √¢¬Ä¬ì and sometimes devastating √¢¬Ä¬ì breakthroughs of the Cognitive, Agricultural and Scientific Revolutions. Drawing on insights from biology, anthropology, paleontology and economics, he explores how the currents of history have shaped our human societies, the animals and plants around us, and even our personalities. Have we become happier as history has unfolded? Can we ever free our behaviour from the heritage of our ancestors? And what, if anything, can we do to influence the course of the centuries to come? Bold, wide-ranging and provocative, Sapiens challenges everything we thought we knew about being human: our thoughts, our actions, our power ... and our future.","Homo Sapiens (1895–96; tr. 1915) is a trilogy by Polish author Stanisław Przybyszewski. The novels were originally published in German as Über Bord (1896, ""Overboard""), Unterwegs (1895, ""By the Way"") and Im Malstrom (1895, ""In the Maelstrom"").[1] It deals with the question of deviance and sexuality, and is counted among Przybyszewski's most important and best-known works.[2][3] It was well received in Germany, but withdrawn from sale by its U.S. publisher after being labelled obscene.[3] It is associated with the decadent movement of the late 19th century.","An Amazon Best Book of the Month for February 2015: Yuval Noah Harari has some questions. Among the biggest: How did Homo sapiens (or Homo sapiens sapiens , if you’re feeling especially wise today) evolve from an unexceptional savannah-dwelling primate to become the dominant force on the planet, emerging as the lone survivor out of six distinct, competing hominid species? He also has some answers, and they’re not what you’d expect. Tackling evolutionary concepts from a historian’s perspective, Sapiens: A Brief History of Humankind, describes human development through a framework of three not-necessarily-orthodox “Revolutions”: the Cognitive, the Agricultural, and the Scientific. His ideas are interesting and often amusing: Why have humans managed to build astonishingly large populations when other primate groups top out at 150 individuals? Because our talent for gossip allows us to build networks in societies too large for personal relationships between everyone, and our universally accepted “imagined realities”--such as money, religion, and Limited Liability Corporations—keep us in line. Who cultivated whom, humans or wheat?. Wheat. Though the concepts are unusual and sometimes heavy (as is the book, literally) Harari’s deft prose and wry, subversive humor make quick work of material prone to academic tedium. He’s written a book of popular nonfiction (it was a bestseller overseas, no doubt in part because his conclusions draw controversy) landing somewhere in the middle of a Venn diagram of genetics, sociology, and history. Throughout, Harari returns frequently to another question: Does all this progress make us happier, our lives easier? The answer might disappoint you. --Jon Foro"
