"Book Title","ISBN","Rating","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"The Fault in Our Stars","9780525478812","4.25","John Green","English","313","Dutton Books","January 10th 2012","['Young Adult', 'Fiction', 'Romance', 'Contemporary']","https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars"
"Divergent (Divergent, #1)","9780062024039","4.23","Veronica Roth","English","487","Katherine Tegen Books","February 28th 2012","['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction']","https://www.goodreads.com/book/show/13335037-divergent"
"Mockingjay (The Hunger Games, #3)","9780439023511","4.03","Suzanne Collins","English","392","Scholastic Press","August 24th 2010","['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Young Adult', 'Teen', 'Apocalyptic', 'Post Apocalyptic', 'Action']","https://www.goodreads.com/book/show/7260188-mockingjay"
"Gone Girl","9780307588371","4.04","Gillian Flynn","English","415","Broadway Books","April 22nd 2014","['Mystery', 'Fiction', 'Mystery', 'Crime', 'Contemporary', 'Thriller']","https://www.goodreads.com/book/show/19288043-gone-girl"
"The Martian","9780804139021","4.4","Andy Weir","English","369","Crown","February 11th 2014","['Novels', 'Contemporary', 'Science Fiction Fantasy']","https://www.goodreads.com/book/show/18007564-the-martian"
"Clockwork Angel (The Infernal Devices, #1)","9781416975861","4.34","Cassandra Clare","English","481","Simon & Schuster, Margaret K. McElderry","August 31st 2010","['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Science Fiction', 'Steampunk', 'Romance']","https://www.goodreads.com/book/show/7171637-clockwork-angel"
"Ready Player One (Ready Player One, #1)","9780307887436","4.31","Ernest Cline","English","374","Crown Publishers","August 16th 2011","['Science Fiction', 'Fiction', 'Young Adult', 'Science Fiction', 'Dystopia', 'Fantasy']","https://www.goodreads.com/book/show/9969571-ready-player-one"
"All the Light We Cannot See","9781476746586","4.32","Anthony Doerr","English","531","Scribner","May 6th 2014","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'War', 'War', 'World War II']","https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see"
"Cinder (The Lunar Chronicles, #1)","9780312641894","4.15","Marissa Meyer","English","390","Feiwel and Friends","January 3rd 2012","['Young Adult', 'Fantasy', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Romance']","https://www.goodreads.com/book/show/11235712-cinder"
"Me Before You (Me Before You, #1)","9780670026609","4.27","Jojo Moyes","English","369","Pamela Dorman Books/Viking","December 31st 2012","['Romance', 'Fiction', 'Audiobook']","https://www.goodreads.com/book/show/15507958-me-before-you"
"The Night Circus","9780385534635","4.04","Erin Morgenstern","English","400","Doubleday","September 13th 2011","['Historical', 'Historical Fiction', 'Adult', 'Adult Fiction']","https://www.goodreads.com/book/show/9361589-the-night-circus"
